Date_Time,KVNY,KBUR,KCQT
2012-03-01 00:35:00,,,48.16
2012-03-01 00:42:00,44.52,,
2012-03-01 00:46:00,,44.52,
2012-03-01 00:47:00,,,48.88
2012-03-01 00:51:00,43.98,,
2012-03-01 00:53:00,,44.88,
2012-03-01 01:31:00,,44.52,
2012-03-01 01:33:00,42.7,,
2012-03-01 01:47:00,,,48.88
2012-03-01 01:51:00,42.89,,
2012-03-01 01:53:00,,44.89,
2012-03-01 02:36:00,,,48.16
2012-03-01 02:47:00,,,46.89
2012-03-01 02:51:00,42.9,,
2012-03-01 02:53:00,,44.54,
2012-03-01 03:24:00,,,46.36
2012-03-01 03:27:00,,,46.36
2012-03-01 03:47:00,42.74,,44.9
2012-03-01 03:51:00,42.01,,
2012-03-01 03:53:00,,44.0,
2012-03-01 04:11:00,,,46.36
2012-03-01 04:31:00,42.74,,
2012-03-01 04:37:00,,,46.36
2012-03-01 04:47:00,,,45.99
2012-03-01 04:51:00,40.93,,
2012-03-01 04:52:00,,,46.36
2012-03-01 04:53:00,,42.92,
2012-03-01 05:26:00,,,46.36
2012-03-01 05:47:00,,,44.91
2012-03-01 05:51:00,34.91,,
2012-03-01 05:53:00,,40.94,
2012-03-01 06:47:00,,,44.91
2012-03-01 06:51:00,40.94,,
2012-03-01 06:53:00,,42.93,
2012-03-01 07:02:00,,,46.34
2012-03-01 07:32:00,,,44.54
2012-03-01 07:47:00,,,45.99
2012-03-01 07:51:00,40.91,,
2012-03-01 07:53:00,,42.91,
2012-03-01 08:47:00,,,45.96
2012-03-01 08:51:00,42.88,,
2012-03-01 08:53:00,,44.88,
2012-03-01 09:47:00,,,44.86
2012-03-01 09:51:00,32.91,,
2012-03-01 09:53:00,,43.96,
2012-03-01 10:47:00,,,42.86
2012-03-01 10:51:00,33.82,,
2012-03-01 10:53:00,,41.96,
2012-03-01 11:47:00,,,42.86
2012-03-01 11:51:00,31.84,,
2012-03-01 11:53:00,,40.87,
2012-03-01 12:47:00,,,44.85
2012-03-01 12:51:00,33.83,,
2012-03-01 12:53:00,,39.78,
2012-03-01 13:47:00,,,44.85
2012-03-01 13:51:00,39.8,,
2012-03-01 13:53:00,,42.86,
2012-03-01 14:47:00,,,43.94
2012-03-01 14:51:00,41.96,,
2012-03-01 14:53:00,,42.68,
2012-03-01 15:47:00,,,42.86
2012-03-01 15:51:00,40.87,,
2012-03-01 15:53:00,,41.95,
2012-03-01 16:47:00,,,38.88
2012-03-01 16:51:00,39.78,,
