Date_Time,KVNY,KBUR,KCQT
2012-03-01 00:35:00,,,87.48
2012-03-01 00:42:00,76.35,,
2012-03-01 00:46:00,,76.35,
2012-03-01 00:47:00,,,85.8
2012-03-01 00:51:00,74.3,,
2012-03-01 00:53:00,,76.89,
2012-03-01 01:31:00,,76.35,
2012-03-01 01:33:00,71.27,,
2012-03-01 01:47:00,,,85.8
2012-03-01 01:51:00,73.7,,
2012-03-01 01:53:00,,79.49,
2012-03-01 02:36:00,,,87.48
2012-03-01 02:47:00,,,85.68
2012-03-01 02:51:00,76.71,,
2012-03-01 02:53:00,,81.61,
2012-03-01 03:24:00,,,87.38
2012-03-01 03:27:00,,,87.38
2012-03-01 03:47:00,81.48,,82.74
2012-03-01 03:51:00,79.79,,
2012-03-01 03:53:00,,83.23,
2012-03-01 04:11:00,,,87.38
2012-03-01 04:31:00,81.48,,
2012-03-01 04:37:00,,,87.38
2012-03-01 04:47:00,,,86.2
2012-03-01 04:51:00,79.7,,
2012-03-01 04:52:00,,,87.38
2012-03-01 04:53:00,,82.6,
2012-03-01 05:26:00,,,87.38
2012-03-01 05:47:00,,,86.14
2012-03-01 05:51:00,60.61,,
2012-03-01 05:53:00,,82.46,
2012-03-01 06:47:00,,,86.14
2012-03-01 06:51:00,82.46,,
2012-03-01 06:53:00,,86.02,
2012-03-01 07:02:00,,,81.75
2012-03-01 07:32:00,,,81.61
2012-03-01 07:47:00,,,82.82
2012-03-01 07:51:00,73.99,,
2012-03-01 07:53:00,,79.86,
2012-03-01 08:47:00,,,74.5
2012-03-01 08:51:00,68.52,,
2012-03-01 08:53:00,,76.89,
2012-03-01 09:47:00,,,61.96
2012-03-01 09:51:00,41.83,,
2012-03-01 09:53:00,,66.43,
2012-03-01 10:47:00,,,55.27
2012-03-01 10:51:00,37.38,,
2012-03-01 10:53:00,,57.32,
2012-03-01 11:47:00,,,51.51
2012-03-01 11:51:00,33.44,,
2012-03-01 11:53:00,,51.21,
2012-03-01 12:47:00,,,55.56
2012-03-01 12:51:00,34.85,,
2012-03-01 12:53:00,,47.25,
2012-03-01 13:47:00,,,59.61
2012-03-01 13:51:00,39.83,,
2012-03-01 13:53:00,,53.18,
2012-03-01 14:47:00,,,55.42
2012-03-01 14:51:00,49.76,,
2012-03-01 14:53:00,,54.89,
2012-03-01 15:47:00,,,55.27
2012-03-01 15:51:00,47.72,,
2012-03-01 15:53:00,,51.37,
2012-03-01 16:47:00,,,47.41
2012-03-01 16:51:00,47.25,,
2012-03-01 16:53:00,,54.89,
2012-03-01 17:47:00,,,47.24
2012-03-01 17:51:00,49.28,,
2012-03-01 17:53:00,,52.72,
2012-03-01 18:47:00,,,50.73
2012-03-01 18:51:00,28.88,,
2012-03-01 18:53:00,,40.23,
2012-03-01 19:35:00,,33.05,
2012-03-01 19:47:00,,,71.51
2012-03-01 19:51:00,32.6,,
2012-03-01 19:53:00,,34.08,
2012-03-01 20:47:00,,,73.9
2012-03-01 20:51:00,38.19,,
2012-03-01 20:53:00,,35.36,
2012-03-01 21:47:00,,,45.27
2012-03-01 21:51:00,39.72,,
2012-03-01 21:53:00,,38.19,
2012-03-01 22:47:00,,,71.41
2012-03-01 22:51:00,41.2,,
2012-03-01 22:53:00,,36.96,
2012-03-01 23:47:00,,,74.3
2012-03-01 23:51:00,41.38,,
2012-03-01 23:53:00,,39.61,
2012-03-02 00:47:00,,,76.81
2012-03-02 00:51:00,43.04,,
2012-03-02 00:53:00,,48.65,
2012-03-02 01:47:00,,,76.81
2012-03-02 01:51:00,48.16,,
2012-03-02 01:53:00,,79.79,
2012-03-02 02:47:00,,,79.95
2012-03-02 02:51:00,46.46,,
2012-03-02 02:53:00,,83.1,
2012-03-02 03:47:00,,,82.6
2012-03-02 03:51:00,48.34,,
2012-03-02 03:53:00,,82.46,
2012-03-02 04:47:00,,,82.6
2012-03-02 04:51:00,48.34,,
2012-03-02 04:53:00,,82.31,
2012-03-02 05:47:00,,,83.1
2012-03-02 05:51:00,40.87,,
2012-03-02 05:53:00,,78.9,
2012-03-02 06:47:00,,,86.02
2012-03-02 06:51:00,39.38,,
2012-03-02 06:53:00,,78.9,
2012-03-02 07:47:00,,,68.87
2012-03-02 07:51:00,25.39,,
2012-03-02 07:53:00,,65.48,
2012-03-02 08:47:00,,,59.6
2012-03-02 08:51:00,19.21,,
2012-03-02 08:53:00,,66.05,
2012-03-02 09:47:00,,,51.37
2012-03-02 09:51:00,14.61,,
2012-03-02 09:53:00,,47.24,
2012-03-02 10:47:00,,,41.1
2012-03-02 10:51:00,13.13,,
2012-03-02 10:53:00,,28.78,
2012-03-02 11:47:00,,,30.71
2012-03-02 11:51:00,8.92,,
2012-03-02 11:53:00,,16.01,
2012-03-02 12:47:00,,,24.46
2012-03-02 12:51:00,6.84,,
2012-03-02 12:53:00,,13.75,
2012-03-02 13:23:00,,5.29,
2012-03-02 13:47:00,,,21.6
2012-03-02 13:51:00,5.44,,
2012-03-02 13:53:00,,4.25,
2012-03-02 14:47:00,,,21.6
2012-03-02 14:51:00,3.5,,
2012-03-02 14:53:00,,4.16,
2012-03-02 15:23:00,,15.98,
2012-03-02 15:47:00,,,25.07
2012-03-02 15:51:00,3.31,,
2012-03-02 15:53:00,,17.03,
2012-03-02 16:47:00,,,23.12
2012-03-02 16:51:00,3.23,,
2012-03-02 16:53:00,,22.61,
2012-03-02 17:47:00,,,27.71
2012-03-02 17:51:00,3.73,,
2012-03-02 17:53:00,,25.55,
2012-03-02 18:47:00,,,33.44
2012-03-02 18:51:00,3.51,,
2012-03-02 18:53:00,,20.72,
2012-03-02 19:47:00,,,38.85
2012-03-02 19:51:00,4.79,,
2012-03-02 19:53:00,,25.88,
2012-03-02 20:47:00,,,43.54
2012-03-02 20:51:00,4.53,,
2012-03-02 20:53:00,,22.94,
2012-03-02 21:47:00,,,48.48
2012-03-02 21:51:00,5.01,,
2012-03-02 21:53:00,,26.08,
2012-03-02 22:47:00,,,46.6
2012-03-02 22:51:00,5.28,,
2012-03-02 22:53:00,,26.98,
2012-03-02 23:47:00,,,46.46
2012-03-02 23:51:00,6.06,,
2012-03-02 23:53:00,,32.9,
2012-03-03 00:47:00,,,47.84
2012-03-03 00:51:00,7.16,,
2012-03-03 00:53:00,,27.29,
2012-03-03 01:47:00,,,35.87
2012-03-03 01:51:00,17.74,,
2012-03-03 01:53:00,,32.56,
2012-03-03 02:47:00,,,35.96
2012-03-03 02:51:00,17.02,,
2012-03-03 02:53:00,,26.48,
2012-03-03 03:47:00,,,31.6
2012-03-03 03:51:00,22.7,,
2012-03-03 03:53:00,,36.47,
2012-03-03 04:47:00,,,26.63
2012-03-03 04:51:00,21.94,,
2012-03-03 04:53:00,,33.5,
2012-03-03 05:32:00,10.8,,
2012-03-03 05:47:00,,,26.63
2012-03-03 05:51:00,9.01,,
2012-03-03 05:53:00,,37.75,
2012-03-03 06:47:00,,,30.18
2012-03-03 06:51:00,9.52,,
2012-03-03 06:53:00,,39.52,
2012-03-03 07:47:00,,,24.27
2012-03-03 07:51:00,7.92,,
2012-03-03 07:53:00,,28.22,
2012-03-03 08:47:00,,,20.56
2012-03-03 08:51:00,7.29,,
2012-03-03 08:53:00,,21.24,
2012-03-03 09:47:00,,,14.71
2012-03-03 09:51:00,6.4,,
2012-03-03 09:53:00,,15.34,
2012-03-03 10:47:00,,,11.69
2012-03-03 10:51:00,6.29,,
2012-03-03 10:53:00,,12.39,
2012-03-03 11:47:00,,,12.48
2012-03-03 11:51:00,6.45,,
2012-03-03 11:53:00,,8.67,
2012-03-03 12:47:00,,,13.21
2012-03-03 12:51:00,6.35,,
2012-03-03 12:53:00,,8.95,
2012-03-03 13:47:00,,,10.55
2012-03-03 13:51:00,6.87,,
2012-03-03 13:53:00,,9.8,
2012-03-03 14:47:00,,,10.14
2012-03-03 14:51:00,5.57,,
2012-03-03 14:53:00,,9.8,
2012-03-03 15:47:00,,,12.86
2012-03-03 15:51:00,8.01,,
2012-03-03 15:53:00,,9.38,
2012-03-03 16:47:00,,,13.34
2012-03-03 16:51:00,8.95,,
2012-03-03 16:53:00,,10.93,
2012-03-03 17:47:00,,,24.16
2012-03-03 17:51:00,11.58,,
2012-03-03 17:53:00,,13.62,
2012-03-03 18:47:00,,,31.51
2012-03-03 18:51:00,14.04,,
2012-03-03 18:53:00,,15.84,
2012-03-03 19:47:00,,,37.71
2012-03-03 19:51:00,11.46,,
2012-03-03 19:53:00,,21.52,
2012-03-03 20:47:00,,,45.45
2012-03-03 20:51:00,11.46,,
2012-03-03 20:53:00,,23.07,
2012-03-03 21:47:00,,,43.87
2012-03-03 21:51:00,10.49,,
2012-03-03 21:53:00,,22.94,
2012-03-03 22:47:00,,,37.29
2012-03-03 22:51:00,18.48,,
2012-03-03 22:53:00,,24.75,
2012-03-03 23:47:00,,,38.52
2012-03-03 23:51:00,22.46,,
2012-03-03 23:53:00,,30.02,
2012-03-04 00:47:00,,,35.36
2012-03-04 00:51:00,21.74,,
2012-03-04 00:53:00,,31.41,
2012-03-04 01:47:00,,,22.76
2012-03-04 01:51:00,28.22,,
2012-03-04 01:53:00,,30.02,
2012-03-04 02:47:00,,,23.65
2012-03-04 02:51:00,26.08,,
