Date_Time,KVNY,KBUR,KCQT
2012-03-01 00:35:00,,,10.0
2012-03-01 00:42:00,10.0,,
2012-03-01 00:46:00,,10.0,
2012-03-01 00:47:00,,,10.0
2012-03-01 00:51:00,10.0,,
2012-03-01 00:53:00,,10.0,
2012-03-01 01:31:00,,10.0,
2012-03-01 01:33:00,10.0,,
2012-03-01 01:47:00,,,10.0
2012-03-01 01:51:00,10.0,,
2012-03-01 01:53:00,,10.0,
2012-03-01 02:36:00,,,6.0
2012-03-01 02:47:00,,,10.0
2012-03-01 02:51:00,10.0,,
2012-03-01 02:53:00,,10.0,
2012-03-01 03:24:00,,,10.0
2012-03-01 03:27:00,,,10.0
2012-03-01 03:47:00,10.0,,10.0
2012-03-01 03:51:00,10.0,,
2012-03-01 03:53:00,,10.0,
2012-03-01 04:11:00,,,10.0
2012-03-01 04:31:00,10.0,,
2012-03-01 04:37:00,,,10.0
2012-03-01 04:47:00,,,10.0
2012-03-01 04:51:00,10.0,,
2012-03-01 04:52:00,,,10.0
2012-03-01 04:53:00,,10.0,
2012-03-01 05:26:00,,,10.0
2012-03-01 05:47:00,,,10.0
2012-03-01 05:51:00,10.0,,
2012-03-01 05:53:00,,10.0,
2012-03-01 06:47:00,,,10.0
2012-03-01 06:51:00,10.0,,
2012-03-01 06:53:00,,10.0,
2012-03-01 07:02:00,,,9.0
2012-03-01 07:32:00,,,10.0
2012-03-01 07:47:00,,,9.0
2012-03-01 07:51:00,10.0,,
2012-03-01 07:53:00,,10.0,
2012-03-01 08:47:00,,,10.0
2012-03-01 08:51:00,10.0,,
2012-03-01 08:53:00,,10.0,
2012-03-01 09:47:00,,,10.0
2012-03-01 09:51:00,10.0,,
2012-03-01 09:53:00,,10.0,
2012-03-01 10:47:00,,,10.0
2012-03-01 10:51:00,10.0,,
2012-03-01 10:53:00,,10.0,
2012-03-01 11:47:00,,,10.0
2012-03-01 11:51:00,10.0,,
2012-03-01 11:53:00,,10.0,
2012-03-01 12:47:00,,,10.0
2012-03-01 12:51:00,10.0,,
2012-03-01 12:53:00,,10.0,
2012-03-01 13:47:00,,,10.0
2012-03-01 13:51:00,10.0,,
2012-03-01 13:53:00,,10.0,
2012-03-01 14:47:00,,,10.0
2012-03-01 14:51:00,10.0,,
2012-03-01 14:53:00,,10.0,
2012-03-01 15:47:00,,,10.0
2012-03-01 15:51:00,10.0,,
2012-03-01 15:53:00,,10.0,
2012-03-01 16:47:00,,,10.0
2012-03-01 16:51:00,10.0,,
2012-03-01 16:53:00,,10.0,
2012-03-01 17:47:00,,,10.0
2012-03-01 17:51:00,10.0,,
2012-03-01 17:53:00,,10.0,
2012-03-01 18:47:00,,,10.0
2012-03-01 18:51:00,10.0,,
2012-03-01 18:53:00,,10.0,
2012-03-01 19:35:00,,10.0,
2012-03-01 19:47:00,,,10.0
2012-03-01 19:51:00,10.0,,
2012-03-01 19:53:00,,10.0,
2012-03-01 20:47:00,,,10.0
2012-03-01 20:51:00,10.0,,
2012-03-01 20:53:00,,10.0,
2012-03-01 21:47:00,,,10.0
2012-03-01 21:51:00,10.0,,
2012-03-01 21:53:00,,10.0,
2012-03-01 22:47:00,,,10.0
2012-03-01 22:51:00,10.0,,
2012-03-01 22:53:00,,10.0,
2012-03-01 23:47:00,,,10.0
2012-03-01 23:51:00,10.0,,
2012-03-01 23:53:00,,10.0,
2012-03-02 00:47:00,,,10.0
2012-03-02 00:51:00,10.0,,
2012-03-02 00:53:00,,10.0,
2012-03-02 01:47:00,,,10.0
2012-03-02 01:51:00,10.0,,
2012-03-02 01:53:00,,10.0,
2012-03-02 02:47:00,,,10.0
2012-03-02 02:51:00,10.0,,
2012-03-02 02:53:00,,10.0,
2012-03-02 03:47:00,,,10.0
2012-03-02 03:51:00,10.0,,
2012-03-02 03:53:00,,10.0,
2012-03-02 04:47:00,,,10.0
2012-03-02 04:51:00,10.0,,
2012-03-02 04:53:00,,10.0,
2012-03-02 05:47:00,,,10.0
2012-03-02 05:51:00,10.0,,
2012-03-02 05:53:00,,10.0,
2012-03-02 06:47:00,,,10.0
2012-03-02 06:51:00,10.0,,
2012-03-02 06:53:00,,10.0,
2012-03-02 07:47:00,,,10.0
2012-03-02 07:51:00,10.0,,
2012-03-02 07:53:00,,10.0,
2012-03-02 08:47:00,,,10.0
2012-03-02 08:51:00,10.0,,
2012-03-02 08:53:00,,10.0,
2012-03-02 09:47:00,,,10.0
2012-03-02 09:51:00,10.0,,
2012-03-02 09:53:00,,10.0,
2012-03-02 10:47:00,,,10.0
2012-03-02 10:51:00,10.0,,
2012-03-02 10:53:00,,10.0,
2012-03-02 11:47:00,,,10.0
2012-03-02 11:51:00,10.0,,
2012-03-02 11:53:00,,10.0,
2012-03-02 12:47:00,,,10.0
2012-03-02 12:51:00,10.0,,
2012-03-02 12:53:00,,10.0,
2012-03-02 13:23:00,,10.0,
2012-03-02 13:47:00,,,10.0
2012-03-02 13:51:00,10.0,,
2012-03-02 13:53:00,,10.0,
2012-03-02 14:47:00,,,10.0
2012-03-02 14:51:00,10.0,,
2012-03-02 14:53:00,,10.0,
2012-03-02 15:23:00,,10.0,
2012-03-02 15:47:00,,,10.0
2012-03-02 15:51:00,10.0,,
2012-03-02 15:53:00,,10.0,
2012-03-02 16:47:00,,,10.0
2012-03-02 16:51:00,10.0,,
2012-03-02 16:53:00,,10.0,
2012-03-02 17:47:00,,,10.0
2012-03-02 17:51:00,10.0,,
2012-03-02 17:53:00,,10.0,
2012-03-02 18:47:00,,,10.0
2012-03-02 18:51:00,10.0,,
2012-03-02 18:53:00,,10.0,
2012-03-02 19:47:00,,,10.0
2012-03-02 19:51:00,10.0,,
2012-03-02 19:53:00,,10.0,
2012-03-02 20:47:00,,,10.0
2012-03-02 20:51:00,10.0,,
2012-03-02 20:53:00,,10.0,
2012-03-02 21:47:00,,,10.0
2012-03-02 21:51:00,10.0,,
2012-03-02 21:53:00,,10.0,
2012-03-02 22:47:00,,,10.0
2012-03-02 22:51:00,10.0,,
2012-03-02 22:53:00,,10.0,
2012-03-02 23:47:00,,,10.0
2012-03-02 23:51:00,10.0,,
2012-03-02 23:53:00,,10.0,
2012-03-03 00:47:00,,,10.0
2012-03-03 00:51:00,10.0,,
2012-03-03 00:53:00,,10.0,
2012-03-03 01:47:00,,,10.0
2012-03-03 01:51:00,10.0,,
2012-03-03 01:53:00,,10.0,
2012-03-03 02:47:00,,,10.0
2012-03-03 02:51:00,10.0,,
2012-03-03 02:53:00,,10.0,
2012-03-03 03:47:00,,,10.0
2012-03-03 03:51:00,10.0,,
2012-03-03 03:53:00,,10.0,
2012-03-03 04:47:00,,,10.0
2012-03-03 04:51:00,10.0,,
2012-03-03 04:53:00,,10.0,
2012-03-03 05:32:00,10.0,,
2012-03-03 05:47:00,,,10.0
2012-03-03 05:51:00,10.0,,
2012-03-03 05:53:00,,10.0,
2012-03-03 06:47:00,,,10.0
2012-03-03 06:51:00,10.0,,
2012-03-03 06:53:00,,10.0,
2012-03-03 07:47:00,,,10.0
2012-03-03 07:51:00,10.0,,
2012-03-03 07:53:00,,10.0,
2012-03-03 08:47:00,,,10.0
2012-03-03 08:51:00,10.0,,
2012-03-03 08:53:00,,10.0,
2012-03-03 09:47:00,,,10.0
2012-03-03 09:51:00,10.0,,
2012-03-03 09:53:00,,10.0,
2012-03-03 10:47:00,,,10.0
2012-03-03 10:51:00,10.0,,
2012-03-03 10:53:00,,10.0,
2012-03-03 11:47:00,,,10.0
2012-03-03 11:51:00,10.0,,
2012-03-03 11:53:00,,10.0,
2012-03-03 12:47:00,,,10.0
2012-03-03 12:51:00,10.0,,
2012-03-03 12:53:00,,10.0,
2012-03-03 13:47:00,,,10.0
2012-03-03 13:51:00,10.0,,
2012-03-03 13:53:00,,10.0,
2012-03-03 14:47:00,,,10.0
2012-03-03 14:51:00,10.0,,
2012-03-03 14:53:00,,10.0,
2012-03-03 15:47:00,,,10.0
2012-03-03 15:51:00,10.0,,
2012-03-03 15:53:00,,10.0,
2012-03-03 16:47:00,,,10.0
2012-03-03 16:51:00,10.0,,
2012-03-03 16:53:00,,10.0,
2012-03-03 17:47:00,,,10.0
2012-03-03 17:51:00,10.0,,
2012-03-03 17:53:00,,10.0,
2012-03-03 18:47:00,,,10.0
2012-03-03 18:51:00,10.0,,
2012-03-03 18:53:00,,10.0,
2012-03-03 19:47:00,,,10.0
2012-03-03 19:51:00,10.0,,
2012-03-03 19:53:00,,10.0,
2012-03-03 20:47:00,,,10.0
2012-03-03 20:51:00,10.0,,
2012-03-03 20:53:00,,10.0,
2012-03-03 21:47:00,,,10.0
2012-03-03 21:51:00,10.0,,
2012-03-03 21:53:00,,10.0,
2012-03-03 22:47:00,,,10.0
2012-03-03 22:51:00,10.0,,
2012-03-03 22:53:00,,10.0,
2012-03-03 23:47:00,,,10.0
2012-03-03 23:51:00,10.0,,
2012-03-03 23:53:00,,10.0,
2012-03-04 00:47:00,,,10.0
2012-03-04 00:51:00,10.0,,
2012-03-04 00:53:00,,10.0,
2012-03-04 01:47:00,,,10.0
2012-03-04 01:51:00,10.0,,
2012-03-04 01:53:00,,10.0,
2012-03-04 02:47:00,,,10.0
2012-03-04 02:51:00,10.0,,
2012-03-04 02:53:00,,10.0,
2012-03-04 03:47:00,,,10.0
2012-03-04 03:51:00,10.0,,
2012-03-04 03:53:00,,10.0,
2012-03-04 04:47:00,,,10.0
2012-03-04 04:51:00,10.0,,
2012-03-04 04:53:00,,10.0,
2012-03-04 05:47:00,,,10.0
2012-03-04 05:51:00,10.0,,
2012-03-04 05:53:00,,10.0,
2012-03-04 06:47:00,,,10.0
2012-03-04 06:51:00,10.0,,
2012-03-04 06:53:00,,10.0,
2012-03-04 07:47:00,,,10.0
2012-03-04 07:51:00,10.0,,
2012-03-04 07:53:00,,10.0,
2012-03-04 08:47:00,,,10.0
2012-03-04 08:51:00,10.0,,
2012-03-04 08:53:00,,10.0,
2012-03-04 09:47:00,,,10.0
2012-03-04 09:51:00,10.0,,
2012-03-04 09:53:00,,10.0,
2012-03-04 10:47:00,,,10.0
2012-03-04 10:51:00,10.0,,
2012-03-04 10:53:00,,10.0,
2012-03-04 11:47:00,,,10.0
2012-03-04 11:51:00,10.0,,
2012-03-04 11:53:00,,10.0,
2012-03-04 12:47:00,,,10.0
2012-03-04 12:51:00,10.0,,
2012-03-04 12:53:00,,10.0,
2012-03-04 13:47:00,,,10.0
2012-03-04 13:51:00,10.0,,
2012-03-04 13:53:00,,10.0,
2012-03-04 14:47:00,,,10.0
2012-03-04 14:51:00,10.0,,
2012-03-04 14:53:00,,10.0,
2012-03-04 15:47:00,,,10.0
2012-03-04 15:51:00,10.0,,
2012-03-04 15:53:00,,10.0,
2012-03-04 16:47:00,,,10.0
2012-03-04 16:51:00,10.0,,
2012-03-04 16:53:00,,10.0,
2012-03-04 17:47:00,,,10.0
2012-03-04 17:51:00,10.0,,
2012-03-04 17:53:00,,10.0,
2012-03-04 18:47:00,,,10.0
2012-03-04 18:51:00,10.0,,
2012-03-04 18:53:00,,10.0,
2012-03-04 19:47:00,,,10.0
2012-03-04 19:51:00,10.0,,
2012-03-04 19:53:00,,10.0,
2012-03-04 20:47:00,,,10.0
2012-03-04 20:51:00,10.0,,
2012-03-04 20:53:00,,10.0,
2012-03-04 21:47:00,,,10.0
2012-03-04 21:51:00,10.0,,
2012-03-04 21:53:00,,10.0,
2012-03-04 22:47:00,,,10.0
2012-03-04 22:51:00,10.0,,
2012-03-04 22:53:00,,10.0,
2012-03-04 23:47:00,,,10.0
2012-03-04 23:51:00,10.0,,
2012-03-04 23:53:00,,10.0,
2012-03-05 00:47:00,,,10.0
2012-03-05 00:51:00,10.0,,
2012-03-05 00:53:00,,10.0,
2012-03-05 01:47:00,,,10.0
2012-03-05 01:51:00,10.0,,
2012-03-05 01:53:00,,10.0,
2012-03-05 02:47:00,,,10.0
2012-03-05 02:51:00,10.0,,
2012-03-05 02:53:00,,10.0,
2012-03-05 03:47:00,,,10.0
2012-03-05 03:51:00,10.0,,
2012-03-05 03:53:00,,10.0,
2012-03-05 04:47:00,,,10.0
2012-03-05 04:51:00,10.0,,
2012-03-05 04:53:00,,10.0,
2012-03-05 05:47:00,,,10.0
2012-03-05 05:51:00,10.0,,
2012-03-05 05:53:00,,10.0,
2012-03-05 06:47:00,,,10.0
2012-03-05 06:51:00,10.0,,
2012-03-05 06:53:00,,10.0,
2012-03-05 07:47:00,,,10.0
2012-03-05 07:51:00,10.0,,
2012-03-05 07:53:00,,10.0,
2012-03-05 08:47:00,,,10.0
2012-03-05 08:51:00,10.0,,
2012-03-05 08:53:00,,10.0,
2012-03-05 09:47:00,,,10.0
2012-03-05 09:51:00,10.0,,
2012-03-05 09:53:00,,10.0,
2012-03-05 10:47:00,,,10.0
2012-03-05 10:51:00,10.0,,
2012-03-05 10:53:00,,10.0,
2012-03-05 11:47:00,,,10.0
2012-03-05 11:51:00,10.0,,
2012-03-05 11:53:00,,10.0,
2012-03-05 12:47:00,,,10.0
2012-03-05 12:51:00,10.0,,
2012-03-05 12:53:00,,10.0,
2012-03-05 13:47:00,,,10.0
2012-03-05 13:51:00,10.0,,
2012-03-05 13:53:00,,10.0,
2012-03-05 14:47:00,,,10.0
2012-03-05 14:51:00,10.0,,
2012-03-05 14:53:00,,10.0,
2012-03-05 15:47:00,,,10.0
2012-03-05 15:51:00,10.0,,
2012-03-05 15:53:00,,10.0,
2012-03-05 16:47:00,,,10.0
2012-03-05 16:51:00,10.0,,
2012-03-05 16:53:00,,10.0,
2012-03-05 17:47:00,,,10.0
2012-03-05 17:51:00,10.0,,
2012-03-05 17:53:00,,10.0,
2012-03-05 18:47:00,,,10.0
2012-03-05 18:51:00,10.0,,
2012-03-05 18:53:00,,10.0,
2012-03-05 19:47:00,,,10.0
2012-03-05 19:51:00,10.0,,
2012-03-05 19:53:00,,10.0,
2012-03-05 20:47:00,,,10.0
2012-03-05 20:51:00,10.0,,
2012-03-05 20:53:00,,10.0,
2012-03-05 21:47:00,,,10.0
2012-03-05 21:51:00,10.0,,
2012-03-05 21:53:00,,10.0,
2012-03-05 22:47:00,,,10.0
2012-03-05 22:51:00,10.0,,
2012-03-05 22:53:00,,10.0,
2012-03-05 23:24:00,,,8.0
2012-03-05 23:38:00,,,7.0
2012-03-05 23:47:00,,,5.0
2012-03-05 23:51:00,10.0,,
2012-03-05 23:53:00,,10.0,
2012-03-06 00:00:00,,,2.5
2012-03-06 00:12:00,,,3.0
2012-03-06 00:22:00,,,2.0
2012-03-06 00:26:00,,,1.5
2012-03-06 00:39:00,,,0.75
2012-03-06 00:47:00,,,1.0
2012-03-06 00:51:00,10.0,,
2012-03-06 00:52:00,,,0.75
2012-03-06 00:53:00,,10.0,
2012-03-06 01:28:00,,,1.0
2012-03-06 01:40:00,,,2.0
2012-03-06 01:47:00,,,2.5
2012-03-06 01:51:00,10.0,,
2012-03-06 01:53:00,,10.0,
2012-03-06 02:26:00,,,3.0
2012-03-06 02:37:00,,,2.5
2012-03-06 02:47:00,,,2.5
2012-03-06 02:51:00,10.0,,
2012-03-06 02:53:00,,10.0,
2012-03-06 03:02:00,,,3.0
2012-03-06 03:06:00,,2.0,
2012-03-06 03:10:00,,1.0,
2012-03-06 03:17:00,,0.5,
2012-03-06 03:29:00,,,3.0
2012-03-06 03:47:00,,,3.0
2012-03-06 03:49:00,,2.0,
2012-03-06 03:51:00,10.0,,
2012-03-06 03:53:00,,3.0,
2012-03-06 04:34:00,3.0,,
2012-03-06 04:43:00,3.0,,
2012-03-06 04:47:00,,,6.0
2012-03-06 04:51:00,5.0,,
2012-03-06 04:53:00,,4.0,
2012-03-06 05:00:00,2.5,,
2012-03-06 05:35:00,,4.0,
2012-03-06 05:47:00,,,10.0
2012-03-06 05:51:00,2.5,,
2012-03-06 05:53:00,,5.0,
2012-03-06 06:47:00,,,8.0
2012-03-06 06:51:00,2.5,,
2012-03-06 06:53:00,,4.0,
2012-03-06 07:47:00,,,8.0
2012-03-06 07:51:00,3.0,,
2012-03-06 07:53:00,,5.0,
2012-03-06 08:38:00,,,8.0
2012-03-06 08:47:00,,,8.0
2012-03-06 08:51:00,4.0,,
2012-03-06 08:53:00,,6.0,
2012-03-06 09:47:00,,,10.0
2012-03-06 09:51:00,5.0,,
2012-03-06 09:53:00,,6.0,
2012-03-06 10:47:00,,,8.0
2012-03-06 10:51:00,7.0,,
2012-03-06 10:53:00,,7.0,
2012-03-06 11:29:00,,,5.0
2012-03-06 11:47:00,,,6.0
2012-03-06 11:51:00,8.0,,
2012-03-06 11:52:00,,,6.0
2012-03-06 11:53:00,,10.0,
2012-03-06 12:23:00,,7.0,
2012-03-06 12:30:00,,7.0,
2012-03-06 12:33:00,,,10.0
2012-03-06 12:47:00,,,10.0
2012-03-06 12:51:00,10.0,,
2012-03-06 12:53:00,,10.0,
2012-03-06 13:21:00,,,10.0
2012-03-06 13:24:00,10.0,,
2012-03-06 13:26:00,,,10.0
2012-03-06 13:28:00,,10.0,
2012-03-06 13:31:00,,,10.0
2012-03-06 13:47:00,,,10.0
2012-03-06 13:51:00,10.0,,
2012-03-06 13:53:00,,10.0,
2012-03-06 14:13:00,10.0,,
2012-03-06 14:30:00,,10.0,
2012-03-06 14:42:00,,,10.0
2012-03-06 14:47:00,,,10.0
2012-03-06 14:51:00,10.0,,
2012-03-06 14:53:00,,10.0,
2012-03-06 15:06:00,,,10.0
2012-03-06 15:27:00,,,10.0
2012-03-06 15:47:00,,,10.0
2012-03-06 15:51:00,10.0,,
2012-03-06 15:53:00,,10.0,
2012-03-06 16:47:00,,,10.0
2012-03-06 16:51:00,10.0,,
2012-03-06 16:53:00,,10.0,
2012-03-06 17:47:00,,,10.0
2012-03-06 17:51:00,10.0,,
2012-03-06 17:53:00,,10.0,
2012-03-06 18:47:00,,,10.0
2012-03-06 18:51:00,10.0,,
2012-03-06 18:53:00,,10.0,
2012-03-06 19:17:00,10.0,,
2012-03-06 19:47:00,,,10.0
2012-03-06 19:51:00,10.0,,
2012-03-06 19:53:00,,10.0,
2012-03-06 20:47:00,,,10.0
2012-03-06 20:51:00,10.0,,
2012-03-06 20:53:00,,10.0,
2012-03-06 21:47:00,,,10.0
