Date_Time,KCQT
2023-10-02 00:47:00,METAR KCQT 020747Z AUTO 00000KT 10SM CLR 16/11 A2996 RMK AO2 SLP142  T01560106 402110150
2023-10-02 01:47:00,METAR KCQT 020847Z AUTO 00000KT 10SM CLR 16/10 A2996 RMK AO2 SLP144  T01560100 53002
2023-10-02 02:47:00,METAR KCQT 020947Z AUTO 00000KT 10SM CLR 15/10 A2996 RMK AO2 SLP142  T01500100
2023-10-02 03:47:00,METAR KCQT 021047Z AUTO 00000KT 10SM CLR 14/10 A2996 RMK AO2 SLP143  T01390100
2023-10-02 04:47:00,METAR KCQT 021147Z AUTO 00000KT 10SM CLR 14/09 A2997 RMK AO2 SLP146  T01390094 10161 20139 53002
2023-10-02 05:47:00,METAR KCQT 021247Z AUTO 00000KT 10SM CLR 14/09 A2997 RMK AO2 SLP147  T01390094
2023-10-02 06:47:00,METAR KCQT 021347Z AUTO 00000KT 10SM CLR 14/10 A2998 RMK AO2 SLP150  T01390100
2023-10-02 07:47:00,METAR KCQT 021447Z AUTO 09004KT 10SM CLR 16/09 A3000 RMK AO2 SLP157  T01560094 53010
2023-10-02 08:47:00,KCQT 021547Z AUTO VRB04KT 10SM CLR 17/10 A3001 RMK AO2 SLP161  T01720100
2023-10-02 09:47:00,METAR KCQT 021647Z AUTO VRB03KT 10SM CLR 19/11 A3002 RMK AO2 SLP163  T01890106
2023-10-02 10:47:00,METAR KCQT 021747Z AUTO 26003KT RMK AO2 SLPNO 10211 20139 PWINO
2023-10-02 11:47:00,KCQT 021847Z AUTO 00000KT 10SM CLR 21/11 A3000 RMK AO2 SLP158  T02060106
2023-10-02 12:47:00,KCQT 021947Z AUTO 00000KT 10SM CLR 22/11 A2999 RMK AO2 SLP154  T02220111
2023-10-02 13:47:00,METAR KCQT 022047Z AUTO 00000KT 10SM CLR 22/11 A2998 RMK AO2 SLP151  T02220106
2023-10-02 14:47:00,METAR KCQT 022147Z AUTO VRB04KT 10SM CLR 22/10 A2997 RMK AO2 SLP147  T02170100
2023-10-02 15:47:00,METAR KCQT 022247Z AUTO 25004KT 10SM CLR 22/11 A2996 RMK AO2 SLP145  T02170106
2023-10-02 16:47:00,METAR KCQT 022347Z AUTO VRB03KT 10SM CLR 21/13 A2996 RMK AO2 SLP145  T02060128 10228 20206 56006
2023-10-02 17:47:00,METAR KCQT 030047Z AUTO 26005KT 10SM CLR 20/13 A2996 RMK AO2 SLP142  T02000133
2023-10-02 18:47:00,METAR KCQT 030147Z AUTO 26004KT 10SM CLR 18/14 A2996 RMK AO2 SLP143  T01830139
2023-10-02 19:47:00,METAR KCQT 030247Z AUTO 26003KT 10SM CLR 18/14 A2996 RMK AO2 SLP143  T01780139 56002
2023-10-02 20:47:00,KCQT 030347Z AUTO 00000KT 10SM CLR 18/14 A2997 RMK AO2 SLP146  T01780144
2023-10-02 21:47:00,METAR KCQT 030447Z AUTO 00000KT 10SM CLR 18/14 A2998 RMK AO2 SLP149  T01780144
2023-10-02 22:47:00,METAR KCQT 030547Z AUTO 00000KT 10SM CLR 17/15 A2998 RMK AO2 SLPNO  T01720150 10206 20172 51007
2023-10-02 23:47:00,METAR KCQT 030647Z AUTO 00000KT 10SM CLR 17/14 A2998 RMK AO2 SLP150  T01720144
2023-10-03 00:47:00,METAR KCQT 030747Z AUTO 09003KT 10SM CLR 17/14 A2998 RMK AO2 SLP151  T01720139 402280139
