Date_Time,KCQT
2023-10-02 00:47:00,72.16
2023-10-02 01:47:00,69.32
2023-10-02 02:47:00,72.04
2023-10-02 03:47:00,77.35
2023-10-02 04:47:00,74.3
2023-10-02 05:47:00,74.3
2023-10-02 06:47:00,77.35
2023-10-02 07:47:00,66.59
2023-10-02 08:47:00,62.62
2023-10-02 09:47:00,58.58
2023-10-02 10:47:00,
2023-10-02 11:47:00,52.73
2023-10-02 12:47:00,49.43
2023-10-02 13:47:00,47.81
2023-10-02 14:47:00,47.36
2023-10-02 15:47:00,49.29
2023-10-02 16:47:00,60.97
2023-10-02 17:47:00,65.36
2023-10-02 18:47:00,75.55
2023-10-02 19:47:00,77.95
2023-10-02 20:47:00,80.52
2023-10-02 21:47:00,80.52
2023-10-02 22:47:00,86.92
2023-10-02 23:47:00,83.62
2023-10-03 00:47:00,80.96
2023-10-03 01:47:00,83.62
2023-10-03 02:47:00,86.31
2023-10-03 03:47:00,86.81
2023-10-03 04:47:00,83.49
2023-10-03 05:47:00,83.43
2023-10-03 07:47:00,72.45
2023-10-03 08:47:00,60.82
2023-10-03 09:47:00,44.73
2023-10-03 10:47:00,37.46
2023-10-03 11:47:00,36.54
2023-10-03 12:47:00,36.69
2023-10-03 13:47:00,42.25
2023-10-03 14:47:00,42.25
2023-10-03 15:47:00,48.27
2023-10-03 16:47:00,46.55
2023-10-03 17:47:00,57.27
2023-10-03 18:47:00,70.86
2023-10-03 19:47:00,78.29
2023-10-03 20:47:00,81.25
2023-10-03 21:47:00,84.41
2023-10-03 22:47:00,84.41
2023-10-03 23:47:00,83.82
2023-10-04 00:47:00,78.12
2023-10-04 01:47:00,84.29
2023-10-04 02:47:00,83.69
2023-10-04 03:47:00,86.92
2023-10-04 04:47:00,83.62
2023-10-04 05:47:00,80.37
2023-10-04 06:47:00,62.76
2023-10-04 07:47:00,54.56
2023-10-04 08:47:00,47.66
2023-10-04 09:47:00,40.72
2023-10-04 10:47:00,33.23
2023-10-04 11:47:00,35.74
2023-10-04 12:47:00,35.74
2023-10-04 13:47:00,33.6
2023-10-04 14:47:00,30.18
2023-10-04 15:47:00,28.99
2023-10-04 16:47:00,31.98
2023-10-04 17:47:00,34.09
2023-10-04 18:47:00,45.04
2023-10-04 19:47:00,53.31
2023-10-04 20:47:00,58.88
2023-10-04 21:47:00,58.88
2023-10-04 22:47:00,61.23
2023-10-04 23:47:00,65.49
2023-10-05 00:47:00,67.96
2023-10-05 01:47:00,67.96
2023-10-05 02:47:00,67.84
2023-10-05 03:47:00,63.26
2023-10-05 04:47:00,63.26
2023-10-05 05:47:00,70.32
2023-10-05 06:47:00,70.32
2023-10-05 07:28:00,69.98
2023-10-05 07:38:00,67.84
2023-10-05 07:47:00,60.97
2023-10-05 08:47:00,40.41
2023-10-05 09:47:00,31.24
2023-10-05 10:47:00,20.47
2023-10-05 11:47:00,17.24
2023-10-05 12:47:00,18.6
2023-10-05 13:47:00,19.5
2023-10-05 14:47:00,27.7
2023-10-05 15:47:00,36.05
2023-10-05 16:47:00,36.12
2023-10-05 17:47:00,39.45
2023-10-05 18:47:00,41.94
2023-10-05 19:47:00,55.57
2023-10-05 20:47:00,57.27
2023-10-05 21:47:00,55.08
2023-10-05 22:47:00,59.39
2023-10-05 23:47:00,61.23
2023-10-06 00:47:00,65.49
2023-10-06 01:47:00,65.49
2023-10-06 02:47:00,67.96
2023-10-06 03:47:00,70.54
2023-10-06 04:47:00,69.98
2023-10-06 05:47:00,72.66
2023-10-06 06:47:00,75.55
2023-10-06 07:47:00,75.73
2023-10-06 08:47:00,62.0
2023-10-06 09:47:00,28.69
2023-10-06 10:47:00,22.06
2023-10-06 11:47:00,22.06
2023-10-06 12:47:00,29.91
2023-10-06 13:47:00,29.61
2023-10-06 14:47:00,30.45
2023-10-06 15:47:00,30.15
2023-10-06 16:47:00,31.2
2023-10-06 17:47:00,34.41
2023-10-06 18:47:00,35.11
2023-10-06 19:47:00,46.55
2023-10-06 20:47:00,57.27
2023-10-06 21:47:00,57.27
2023-10-06 22:47:00,61.34
2023-10-06 23:47:00,59.39
2023-10-07 00:47:00,63.24
2023-10-07 01:47:00,67.65
2023-10-07 02:47:00,70.2
2023-10-07 03:47:00,75.73
2023-10-07 04:47:00,75.73
2023-10-07 05:47:00,78.03
2023-10-07 06:47:00,83.82
2023-10-07 07:47:00,83.95
2023-10-07 08:47:00,71.07
2023-10-07 09:47:00,61.99
2023-10-07 10:47:00,58.08
2023-10-07 11:19:00,52.75
2023-10-07 11:27:00,49.03
2023-10-07 11:47:00,52.75
2023-10-07 12:47:00,43.29
2023-10-07 13:47:00,37.41
2023-10-07 14:47:00,40.55
2023-10-07 15:47:00,41.82
2023-10-07 16:47:00,38.49
2023-10-07 17:47:00,55.85
2023-10-07 18:47:00,68.31
2023-10-07 19:47:00,73.07
2023-10-07 20:47:00,75.44
2023-10-07 21:47:00,81.33
2023-10-07 22:47:00,84.41
2023-10-07 23:47:00,87.13
2023-10-08 00:47:00,83.95
2023-10-08 01:47:00,78.38
2023-10-08 02:47:00,84.41
2023-10-08 03:47:00,81.25
2023-10-08 04:47:00,81.25
2023-10-08 05:47:00,87.08
2023-10-08 06:47:00,87.02
2023-10-08 07:47:00,87.02
2023-10-08 08:47:00,78.29
2023-10-08 09:47:00,68.53
2023-10-08 10:47:00,62.25
2023-10-08 11:47:00,52.0
2023-10-08 12:47:00,48.73
2023-10-08 13:47:00,49.18
2023-10-08 14:47:00,50.48
2023-10-08 15:47:00,58.04
2023-10-08 16:47:00,64.01
2023-10-08 17:47:00,73.27
2023-10-08 18:47:00,83.82
2023-10-08 18:58:00,87.08
2023-10-08 19:21:00,87.08
2023-10-08 19:29:00,87.08
2023-10-08 19:47:00,87.08
2023-10-08 20:47:00,87.08
